F S UID          PID    PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
0 S joaocout    1684    1557  0  69 -11 - 118251 do_sys 02:48 ?       00:00:00 /usr/bin/wireplumber
0 S joaocout    1715    1557  1  80   0 - 1224937 do_sys 02:48 ?      00:06:14 /usr/bin/gnome-shell
0 S joaocout    1840    1557  0  80   0 - 77142 do_sys 02:48 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
0 S joaocout    1846    1840  0  80   0 -  2597 do_epo 02:48 ?        00:00:00 /usr/bin/dbus-broker-launch --config-file=/usr/share/defaults/at-spi2/accessibility.conf --scope user
0 S joaocout    1848    1846  0  80   0 -  1251 do_epo 02:48 ?        00:00:00 dbus-broker --log 4 --controller 9 --machine-id ddd768ae5a06441896a6fa01673113aa --max-bytes 100000000000000 --max-fds 6400000 --max-matches 5000000000
0 S joaocout    1860    1557  0  80   0 - 112128 do_sys 02:48 ?       00:00:00 /usr/libexec/xdg-permission-store
0 S joaocout    1864    1557  0  80   0 - 146556 do_sys 02:48 ?       00:00:00 /usr/libexec/gnome-shell-calendar-server
0 S joaocout    1873    1557  0  80   0 - 305625 do_sys 02:48 ?       00:00:00 /usr/libexec/evolution-source-registry
0 S joaocout    1877    1557  0  69 -11 - 64812 do_epo 02:48 ?        00:02:07 /usr/bin/pipewire-pulse
0 S joaocout    1885    1557  0  80   0 - 224460 do_sys 02:48 ?       00:00:00 /usr/libexec/goa-daemon
0 S joaocout    1888    1557  0  80   0 - 38982 do_sys 02:48 ?        00:00:00 /usr/libexec/dconf-service
0 S joaocout    1896    1557  0  80   0 - 263984 do_sys 02:48 ?       00:00:00 /usr/libexec/evolution-calendar-factory
0 S joaocout    1903    1557  0  80   0 - 133469 do_sys 02:48 ?       00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
0 S joaocout    1914    1557  0  80   0 - 112207 do_sys 02:48 ?       00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
0 S joaocout    1928    1557  0  80   0 - 132893 do_sys 02:48 ?       00:00:01 /usr/libexec/goa-identity-service
0 S joaocout    1929    1557  0  80   0 - 112218 do_sys 02:48 ?       00:00:00 /usr/libexec/gvfs-goa-volume-monitor
0 S joaocout    1938    1557  0  80   0 - 239700 do_sys 02:48 ?       00:00:00 /usr/libexec/evolution-addressbook-factory
0 S joaocout    1941    1557  0  80   0 - 112706 do_sys 02:48 ?       00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
0 S joaocout    1949    1557  0  80   0 - 132087 do_sys 02:48 ?       00:00:00 /usr/libexec/gvfs-afc-volume-monitor
4 S root        1955       1  0  80   0 - 65392 -      02:48 ?        00:00:09 /usr/libexec/sssd/sssd_kcm --uid 0 --gid 0 --logger=files
0 S joaocout    1965    1557  0  80   0 - 754973 do_sys 02:48 ?       00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
0 S joaocout    1966    1557  0  80   0 - 40415 do_sys 02:48 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
0 S joaocout    1975    1557  0  80   0 - 132051 do_sys 02:48 ?       00:00:10 /usr/bin/ibus-daemon --panel disable
0 S joaocout    1982    1557  0  80   0 - 130698 do_sys 02:48 ?       00:00:00 /usr/libexec/gsd-a11y-settings
0 S joaocout    1985    1557  0  80   0 - 206998 do_sys 02:48 ?       00:00:00 /usr/libexec/gsd-color
0 S joaocout    1988    1557  0  80   0 - 135093 do_sys 02:48 ?       00:00:00 /usr/libexec/gsd-datetime
0 S joaocout    1991    1557  0  80   0 - 131298 do_sys 02:48 ?       00:00:00 /usr/libexec/gsd-housekeeping
0 S joaocout    1992    1557  0  80   0 - 166719 do_sys 02:48 ?       00:00:00 /usr/libexec/gsd-keyboard
0 S joaocout    1994    1557  0  80   0 - 221265 do_sys 02:48 ?       00:00:00 /usr/libexec/gsd-media-keys
0 S joaocout    1996    1557  0  80   0 - 202538 do_sys 02:48 ?       00:00:00 /usr/libexec/gsd-power
0 S joaocout    1998    1557  0  80   0 - 115507 do_sys 02:48 ?       00:00:00 /usr/libexec/gsd-print-notifications
0 S joaocout    2000    1557  0  80   0 - 167559 do_sys 02:48 ?       00:00:00 /usr/libexec/gsd-rfkill
0 S joaocout    2001    1557  0  80   0 - 112164 do_sys 02:48 ?       00:00:00 /usr/libexec/gsd-screensaver-proxy
0 S joaocout    2002    1557  0  80   0 - 169711 do_sys 02:48 ?       00:00:00 /usr/libexec/gsd-sharing
0 S joaocout    2003    1557  0  80   0 - 152645 do_sys 02:48 ?       00:00:01 /usr/libexec/gsd-smartcard
0 S joaocout    2009    1557  0  80   0 - 132812 do_sys 02:48 ?       00:00:00 /usr/libexec/gsd-sound
